name	chats	msgs	ratio	normal	times	tokens	depth	com	c1k	mode	label
Undertale	150	5290	35.27	3.87	9.12	1815	19.43	0	0.0	disabled	bot
School Queen Bee	248	4932	19.89	4.04	4.92	1722	11.55	1	4.0	open	bot
Ellen Joe	285	4460	15.65	4.15	3.77	724	21.61	1	3.5	open	bot
Bully strawmanning	286	4220	14.76	4.16	3.55	1355	10.89	9	31.6	open	?
ATLA PICK ME Liora	302	4413	14.61	4.32	3.39	2607	5.52	-1	-1	open	legit
Kassie Brendon	294	3804	12.94	4.22	3.07	4034	3.19	-1	-1	open	legit
Would You Still See Her	359	4775	13.30	4.88	2.72	4074	3.26	-1	-1	open	legit
Stuck in One Room	2767	61694	22.30	11.05	2.02	2286	9.60	19	6.9	open	legit
Bully forced to live	579	7939	13.71	7.30	1.88	3111	4.41	-1	-1	open	legit
Pregnant Cult Member	829	13345	16.10	8.85	1.82	4359	3.61	-1	-1	open	?
MHA Pro hero gala	457	5077	11.11	6.31	1.76	2236	4.97	-1	-1	open	legit
Maleva forced proximity	426	4244	9.96	5.86	1.70	3661	2.72	-1	-1	open	legit
Sienna Laurent	1391	24825	17.85	11.08	1.61	4753	3.75	2	1.4	open	?
the three cuckateers	417	3723	8.93	5.73	1.56	2630	3.39	-1	-1	open	legit
Aliens abducted	904	11120	12.30	9.06	1.36	1106	11.12	6	6.7	open	bot
Arielle Clueless	1167	16485	14.13	10.67	1.32	3834	3.68	13	11.2	open	legit
Succubus Crush	2387	34549	14.47	11.16	1.30	1351	10.71	24	10.1	open	legit
Your girlfriend cold	1006	12572	12.50	9.70	1.29	1922	6.50	13	12.9	open	legit
Superhero Wife	904	10534	11.65	9.06	1.29	5338	2.18	-1	-1	open	legit
Kidnapped For Content	2251	31780	14.12	11.22	1.26	4919	2.87	27	12.1	followed_only	legit
Empress of Serpents	551	4721	8.57	7.15	1.20	4381	1.96	-1	-1	open	legit
A Smile and a Smirk	1586	21150	13.34	11.22	1.19	3330	4.00	10	6.3	open	legit
Wife futa coworker	2699	33960	12.58	11.02	1.14	3544	3.55	14	5.2	open	legit
Betrayed Hero Party	2389	30122	12.61	11.16	1.13	4006	3.15	41	17.2	open	legit
Gym Femcel	939	9350	9.96	9.28	1.07	1541	6.46	-1	-1	open	legit
Your Sunday Regular	838	7389	8.82	8.63	1.02	2979	2.96	-1	-1	open	legit
Yandere Best Friend	5128	52420	10.22	10.32	0.99	3225	3.17	61	12.0	open	legit
Yoruichi Stepdaughter	854	6957	8.15	8.73	0.93	3650	2.23	-1	-1	open	legit
I Love Her Mom	694	4798	6.91	8.01	0.86	1948	3.48	-1	-1	open	legit
Kira LCE Intern	751	4936	6.57	8.10	0.81	4839	1.36	-1	-1	open	legit
Netori Australian Mom	741	4070	5.49	8.06	0.68	3031	1.81	-1	-1	open	legit
dearest childhood friend	1011	6621	6.55	9.73	0.67	2020	3.24	9	9.0	open	legit
Lonely MILF	3511	24999	7.12	10.72	0.66	1688	4.22	22	6.3	open	legit
Caught With Pants Down	935	4041	4.32	9.26	0.47	2371	1.82	-1	-1	open	legit
