name	chats	msgs	ratio	times	tokens	com	c1k	mode	label
A	29	7848	270.62	76.18	511	0	0.0	open	bot
Undertale	157	5338	34.00	9.57	1815	0	0.0	disabled	bot
School Queen Bee	270	5183	19.20	3.60	1722	1	3.7	open	bot-mark-ok
Ellen Joe	292	4481	15.35	2.58	724	1	3.4	open	unsure
Bully strawmanning	297	4340	14.61	2.41	1355	9	30.5	open	notbot
ATLA PICK ME Liora	310	4491	14.49	2.22	2607	-1	-1	open	legit
Kassie Brendon	297	3857	12.99	2.12	4034	-1	-1	open	legit
Stuck in One Room	2821	63310	22.44	2.06	2286	19	6.7	open	notbot
Would You Still See Her	386	5118	13.26	1.98	4074	-1	-1	open	legit
Bully forced to live	587	8147	13.88	1.96	3111	-1	-1	open	legit
Sienna Laurent	1449	25999	17.94	1.66	4753	2	1.4	open	unsure
MHA Pro hero gala	463	5135	11.09	1.62	2236	-1	-1	open	legit
Maleva	442	4505	10.19	1.49	3661	-1	-1	open	legit
Aliens abducted	932	11569	12.41	1.42	1106	6	6.5	open	bot-mark-ok
Succubus Crush	2440	34753	14.24	1.35	1351	24	9.8	open	notbot
Kidnapped For Content	2337	32668	13.98	1.33	4919	27	11.6	followed_only	legit
Superhero Wife	940	10970	11.67	1.33	5338	-1	-1	open	legit
Arielle	1187	17216	14.50	1.32	3834	13	11.0	open	legit
the three cuckateers	433	3791	8.76	1.29	2630	-1	-1	open	legit
Your girlfriend cold	1048	13108	12.51	1.28	1922	13	12.4	open	legit
A Smile and a Smirk	1615	21489	13.31	1.25	3330	10	6.2	open	legit
Empress of Serpents	563	4888	8.68	1.23	4381	-1	-1	open	legit
Betrayed Hero Party	2450	30943	12.63	1.19	4006	41	16.8	open	legit
Wife futa coworker	2785	35225	12.65	1.18	3544	14	5.0	open	legit
Your Sunday Regular	862	7638	8.86	1.09	2979	-1	-1	open	legit
Gym Femcel	991	9932	10.02	1.08	1541	-1	-1	open	unsure
Yoruichi	894	7417	8.30	0.99	3650	-1	-1	open	legit
I Love Her Mom	714	5047	7.07	0.97	1948	-1	-1	open	legit
Yandere Best Friend	5345	54836	10.26	0.94	3225	61	11.4	open	legit
Kira LCE Intern	767	5048	6.58	0.90	4839	-1	-1	open	legit
Netori Australian Mom	775	4302	5.55	0.76	3031	-1	-1	open	legit
dearest childhood friend	1042	7029	6.75	0.70	2020	9	8.6	open	legit
Lonely MILF	3622	25827	7.13	0.65	1688	22	6.1	open	legit
Caught With Pants Down	956	4128	4.32	0.48	2371	-1	-1	open	legit
