name	label	depth	c1k	chats	comments	family
Ellen Joe	bot	40.8	7.1	140	1	A
I married a lesbian	bot	39.0	25.8	1200	31	A
Undertale	bot	31.8	0.0	900	0	A
Apocalyptic Sanctuary	bot	11.1	1.9	1050	2	A
Your Sweet Step Mom	bot	2.6	1.3	2281	3	B
Emily Sweaty Submission	bot	5.1	1.7	1731	3	B
Friends w Apt Benefits	bot	4.9	2.2	4181	9	B
Pregnant Cult Member	legit	3.2	6.7	446	3	-
Wife futa coworker	legit	3.2	8.1	1227	10	-
Stuck in One Room	legit	8.3	9.2	1627	15	-
heroines	legit	2.5	11.2	1787	20	-
No One Thinks	legit	5.6	13.1	6323	83	-
Succubus Crush	legit	10.8	13.7	1386	19	-
Yandere Best Friend	legit	2.4	26.2	1718	45	-
Kidnapped For Content	legit	3.5	29.3	752	22	-
