chats	tokens	ratio	days	comments	mode	depth
5516	6537	18.53	5.4	25	O	1.77
2744	3306	14.65	6.2	15	O	2.66
941	4421	17.4	5.2	6	O	2.48
1079	2399	14.92	6.1	9	O	3.74
865	1139	19.76	6.1	21	O	10.44
509	4479	8.2	4.3	4	O	1.21
860715	462	45.17	1206	3427	O	13.41
720786	612	26.24	1195.9	3631	O	5.89
228009	1096	62.61	1114.9	763	O	8.01
443653	2754	49.28	705.6	2722	O	2.85
259234	3340	51.29	884.9	657	O	2.3
209738	2975	35.78	433.4	586	O	2.2
196724	2749	48.36	459.6	795	O	3.16
154963	3689	38.9	312.4	379	O	2.11
245175	3016	35.25	680.8	821	O	1.88
197590	800	42.59	625.4	717	O	8.78
329054	120	36.62	1185	1311	O	42.06
112999	21070	65.41	497.3	469	O	0.55
258930	2755	43.43	660.4	969	O	2.56
115126	994	41.28	923.2	493	O	6.14
149506	3473	42.44	853.4	420	O	1.85
187478	3151	32.64	355.2	667	O	2
102543	601	56.88	377.9	174	O	17.97
208283	1369	24.78	964.1	790	O	2.64
74334	1742	46.27	1149.1	125	O	3.69
70722	2776	47.88	484.1	300	O	3.05
119529	4665	42.07	157.2	407	O	2.19
57371	753	55.98	1202	144	O	10.21
86523	318	55.29	1159.9	132	O	24.11
97645	3592	47.56	643.1	141	O	2.17
93892	1438	49.06	1171.9	175	O	4.72
104536	2806	28.75	644.9	507	O	1.67
69459	7471	64.13	487.2	126	O	1.52
74663	1767	57.07	521.2	217	O	5.6
80337	3624	33.65	232.8	242	O	2.02
65298	467	60.76	672.1	82	O	21.02
93072	2986	41.51	335	370	O	2.73
59333	4802	62.22	736.2	168	O	2.04
82824	2625	44.26	390.2	299	D	3.17
74319	1910	32.21	959.1	193	O	2.47
44364	697	49.42	783.3	202	O	10.97
85844	206	33.62	979.3	62	O	23.73
51947	1522	32.63	703.8	102	O	3.42
116519	1873	33.34	622.3	357	O	2.94
52806	191	30.95	1186.7	114	O	22.32
65809	731	33.32	1148.7	461	O	6.34
52012	485	28	807.6	99	O	8.86
28398	11899	50.06	564	92	D	0.71
59474	3039	23.35	300.2	166	O	1.56
30074	1049	45.89	1187.2	84	O	6.03
49280	2705	27.41	392.2	136	O	1.9
129866	172	15.43	1198.3	379	O	12.32
65075	3778	30.51	111.6	174	O	2.16
38480	3251	50.54	349.4	178	O	3.02
30741	2648	41.01	341.3	130	D	3.03
26652	1159	47.3	1134.4	50	O	5.69
34791	2265	34.65	942.4	94	O	2.25
44466	2795	27.06	611.9	253	O	1.61
34944	2957	49.25	598.8	62	O	2.78
57592	2491	30.3	401.4	199	O	2.27
83933	4424	41.28	701.2	368	O	1.49
142420	154	24.32	1199.3	517	O	21.7
105704	1032	33.34	1186.9	257	O	4.45
168834	1599	20.07	1119.8	459	O	1.76
78211	2142	43.22	1101.5	132	O	2.84
67406	4535	32.12	57.4	242	O	2.28
66386	4770	32.36	798.1	241	O	1.04
173047	1123	27.91	835.9	575	O	3.78
99169	762	31.17	641.1	136	O	6.7
167638	2638	11.99	1071.6	545	O	0.64
34909	2846	56.48	99.8	338	O	5.47
47379	2948	62.05	379	59	O	3.99
83332	1027	34.6	1196.7	154	O	4.63
98149	2236	18.36	341.8	81	O	1.6
