chats	tokens	days	comments	mode	depth
120	279	6.2	4	O	76.5
101	218	3.7	3	O	72.5
115	127	3.2	2	O	65.7
168	606	6.7	1	O	29.9
233	1081	5.1	2	O	9.7
310	902	1.8	4	O	8.7
145	2371	3.9	3	O	6.6
158	1018	6.1	4	O	5.9
102	1170	2.4	0	O	5.5
179	2340	2.4	5	O	5.4
111	2065	1.8	4	O	5.1
204	3245	4.2	3	O	4.5
254	3614	1.0	9	O	4.3
249	2072	1.2	20	O	4.1
130	2732	6.3	0	O	3.3
100	4971	1.6	3	O	3.2
393	2198	7.0	25	O	2.9
307	1608	6.9	12	O	2.6
362	1511	6.6	8	O	2.3
102	2491	1.0	4	O	2.1
108	1644	4.9	2	O	1.9
195	3666	1.9	6	O	1.8
382	3756	6.0	3	O	1.0
348	6925	5.9	9	O	0.9
150	10581	5.0	2	O	0.6
248	5874	5.4	13	O	0.6
196	16824	2.5	2	O	0.5
