name	label	chats	ratio	tokens	days	comments	mode
Undertale	bot	118	43.47	1815	1.0	0	disabled
Ellen Joe	bot	136	30.38	724	1.0	2	open
I married a lesbian	bot	416	24.80	639	1.0	15	open
Apocalyptic Sanctuary	bot	503	16.13	1452	1.0	2	open
Sofia	bot	742	10.70	473	1.0	14	open
Friends w Apt Benefits	bot	4221	16.65	2750	7.0	9	open
Emily Sweaty Submission	bot	1731	14.00	2700	5.0	3	open
Your Sweet Step Mom	bot	2281	12.50	4800	5.0	3	open
Aliens abducted	bot	690	12.45	1106	1.0	6	open
Succubus Crush	legit	1975	14.86	1351	1.0	22	open
Stuck in One Room	legit	2336	21.19	2286	1.3	18	open
Kidnapped For Content	legit	703	17.25	4919	1.0	27	followed_only
Pregnant Cult Member	legit	687	15.67	4359	1.3	4	open
Wife futa coworker	legit	2152	12.09	3544	1.0	12	open
No One Thinks	legit	6245	19.68	3521	1.0	86	open
Yandere Best Friend	legit	1612	7.50	3225	1.0	56	open
DeepSeek-chan	legit	272	15.26	3614	1.4	9	open
A Smile and a Smirk	legit	1391	13.19	3330	1.2	9	open
Betrayed by Hero Party	legit	1964	12.44	4006	1.0	37	open
Your Roommate Reality	legit	4063	14.27	2768	1.5	41	open
Lonely MILF	legit	1769	6.29	1688	1.0	20	open
HER boyfriend Paige	legit	2790	9.20	2393	1.0	13	open
Rivalry Two Dukes	legit	2719	9.81	4462	1.3	13	open
MHA Pick Me Meko	legit	2657	14.09	1799	1.5	31	open
Tasting Game Stepsis	?	574	11.74	924	1.0	2	open
